Emp. Bernstein for CIPS,ESLB,Implicit Exploration Bound,L = 1 Emp. SM for CIPS,LS Bound,dataset,temp_0,temp
1.0,1.0,0.6315126003116288,0.7447606068580552,0.5671850226847412,arrhythmia,0.2,0.1
1.0,1.0,0.6020866627468617,0.7110289587080547,0.5628608225459281,arrhythmia,0.3,0.2
1.0,1.0,0.6690235764399712,0.768991647154009,0.6196450357781507,arrhythmia,0.25,0.2
1.0,1.0,0.5853321088882603,0.7391182028643509,0.46554931071433153,arrhythmia,0.2,0.2
1.0,1.0,0.478249510918253,0.5709630134708804,0.3677995590716821,arrhythmia,0.3,0.3
1.0,1.0,0.5581599054795272,0.6661856424174097,0.4221262033497852,arrhythmia,0.25,0.3
1.0,1.0,0.7860040479234488,0.7884649287405109,0.6900481708761588,arrhythmia,0.2,0.3
1.0,1.0,0.8056090166857282,0.7513058527416195,0.7016841048966115,arrhythmia,0.3,0.4
1.0,1.0,0.31240614135225875,0.39179364592164817,-0.0,arrhythmia,0.25,0.4
1.0,1.0,0.8818109806782343,0.8680191288602911,0.7641899966998787,arrhythmia,0.2,0.4
1.0,1.0,0.6509948938234972,0.507056447396014,0.42793859675217805,arrhythmia,0.3,0.5
1.0,1.0,0.9301773036637762,0.8392023142257266,0.8036570451969918,arrhythmia,0.25,0.5
1.0,1.0,0.808009023972449,0.7567638550282874,0.4453221811788705,arrhythmia,0.2,0.5
1.0,1.0,0.5650413702944497,0.7046217131890299,0.5338470668814241,arrhythmia,0.3,0.1
1.0,1.0,0.8401326430849771,0.8398363671945689,0.8394615293202954,arrhythmia,0.25,0.1
1.0,1.0,0.8122625909445219,0.8117140628624137,0.8113946212248204,arrhythmia,0.2,0.1
1.0,1.0,0.5417452610253157,0.6807885251949496,0.4830197865659303,arrhythmia,0.3,0.2
1.0,1.0,0.7362393871102683,0.8043786785635122,0.6938773916462155,arrhythmia,0.25,0.2
1.0,1.0,0.7434411872772276,0.7845204087654799,0.6835100041530536,arrhythmia,0.2,0.2
1.0,1.0,0.627390495224524,0.6623298161544631,0.5276761582231713,arrhythmia,0.3,0.3
1.0,1.0,0.5310035445835429,0.5971209925270106,0.33679111754429336,arrhythmia,0.25,0.3
